,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-009,Label Atoclinda 20%  1Kg,2063,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-026,Label Trisin  500 gm,0,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-030,Label Atcotylan 100 gm,4995,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-036,Label Atoclinda 20%  100 gm,5770,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-023,Label S.quinoxaline 20% 500gm,3109,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-012,Label Ato Linc 400 200 gm,4399,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000089,Label Atociprin 1 Kg,0,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000090,Label Atociprin  500gm,0,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-025,Label Trisin 100 gm,1690,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-035,Label Atcocolistan 500 gm,130,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Balance,,,,,,1433,Balance,,,,,,1755,Balance,,,,,,1575,Balance,,,,,,2231,Balance,,,,,,2016,Balance,,,,,,1378,Balance,,,,,,1452,Balance,,,,,,2795,Balance,,,,,,0,Balance,,,,,,3404,Balance,,,,,,1553,Balance,,,,,,200,Balance,,,,,,4569,Balance,,,,,,0,Balance,,,,,,1500,Balance,,,,,,2887,Balance,,,,,,3700,Balance,,,,,,900,Balance,,,,,,275,Balance,,,,,,1475,Balance,,,,,,0,Balance,,,,,,2526,Balance,,,,,,2063,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,3700,Balance,,,,,,3109,Balance,,,,,,2336,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,1690,Balance,,,,,,130,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,0,Balance,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,Label Atcoprol  1Kg,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,Label Atcotylan 100 gm,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,Name,,Exp.date,Retest date,,Code,,,,,,,,,,,,,,
Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,11/30/2017,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,4/30/2018,,,4000039,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,Batch No.,,,,,,,,,,,,,,,,,,,
Supplier/date,,,NEW,,Unit,,Supplier/date,,,New,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,NEW,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,New,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,NEW,,Unit,,Supplier/date,,,New,,Unit,,Supplier/date,,,NEW,,Unit,,Supplier/date,,,New,,Unit,,Supplier/date,,,NEW,,Unit,,Supplier/date,,,NEW,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,New,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,Ghopashy(23/4/2013),,,,Unit,,Supplier/date,,,New,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,New,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,Supplier/date,,,,,Unit,,,,,,,,,,,,,,
Control No.,0212012,Qurantine,,,,,Control No.,0212013,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,0112035,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,1212001,Qurantine,,,Label,,Control No.,0312001,Qurantine,,,,,Control No.,0112039,Qurantine,,,,,Control No.,0112040,Qurantine,,,,,Control No.,0112041,Qurantine,,,,,Control No.,0112042,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,0112044,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,0413035,Qurantine,0,,,,Control No.,0112049,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,0112051,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,Control No.,,Qurantine,,,,,,,,,,,,,,,,,
IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,,,,,,,,,,,,,
1550,,1550,,,,,1975,,1975,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,1225,,1225,,,11/8/2012,,0,,0,,,,,900,,3900,,,,,2825,,2825,,,,,1950,,1950,,,11/8/2012,,2539,,2539,,,,,2890,,2890,,,,,2750,,2750,,,,,0,,0,,,,,2900,,2900,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,5000,,5000,,,,,2075,,2075,,,,,0,,0,,,,,2063,,2063,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,,,,,,,,,
,850,,,29/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,Reciving,11/29/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,1/18/2014,Atco prol W.S.P 500gm,140004 to 140008,,,,,,,,,,,,,,,,,,,,,,,,5,,102,Addition,4/29/2013,,,5,,,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,700,,9/11/2013,Neomycan 20% 1 Kg,130327  To   130337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Q C,12/5/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,1/21/2014,Atco prol W.S.P 500gm,140009 To 140014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
